mca12,ident3,se2,coded_ms,id3_ind,se2_ind,int_111,int_2,int_2_ind,F1_initial,F1_second,F1_fitted,B1_fitted,B2_fitted,F2_fitted,B3_fitted,B4_fitted,F1,B1,B2,F2,B3,B4,F1,F1,B1,B2,F2,B3,B4,Best_Model,se2_id3_ind Model,se3_ind,se3_ind+id3_ind,id3_ind_model,int_2_model,int_0_fitted,int_0_model
6,8,7,1,1,1,0,7,1,4.92,0,4.92,5.39,5.43,4.27,4.27,4.24,1.08,0.61,0.57,1.73,1.73,1.76,,,,,,,,-0.1,1.355,0,0.4,0.78,1.25,4.79,1.21
4,8,9,1,1,0,0,9,0,5.9,0,5.9,5.39,5.43,5.59,5.54,5.57,-1.9,-1.39,-1.43,-1.59,-1.54,-1.57,,,,,,,,-2.1,-1.59,0,-1.6,-1.22,-2.05,6.04,-2.04
1,9,7,1,1,1,1,7,1,4.45,0,4.45,4.96,4.91,4.27,4.27,4.24,-3.45,-3.96,-3.91,-3.27,-3.27,-3.24,,,,,,,,-1.86,-3.645,1,-3.41,-4.22,-3.75,4.79,-3.79
4,6,6,1,0,1,0,6,1,5.37,0,5.37,6.25,6.47,5.22,5.2,5.35,-1.37,-2.25,-2.47,-1.22,-1.2,-1.35,,,,,,,,-2.1,-1.755,1,-1.53,-2.21,-0.75,6.04,-2.04
4,9,8,1,1,0,0,8,0,4.94,0,4.94,4.96,4.91,5.59,5.54,5.57,-0.94,-0.96,-0.91,-1.59,-1.54,-1.57,,,,,,,,-2.1,-1.59,0,-1.6,-1.22,-2.05,6.04,-2.04
6,9,7,1,1,1,0,7,1,4.45,0,4.45,4.96,4.91,4.27,4.27,4.24,1.55,1.04,1.09,1.73,1.73,1.76,,,,,,,,-0.1,1.355,0,0.4,0.78,1.25,4.79,1.21
5,8,7,1,1,1,0,7,1,4.92,0,4.92,5.39,5.43,4.27,4.27,4.24,0.08,-0.39,-0.43,0.73,0.73,0.76,,,,,,,,-1.1,0.355,0,-0.6,-0.22,0.25,4.79,0.21
9,5,8,1,0,0,0,8,0,6.82,0,6.82,6.68,6.99,6.54,6.47,6.68,2.18,2.32,2.01,2.46,2.53,2.32,,,,,,,,2.9,2.3,0,2.28,2.79,2.95,6.04,2.96
4,9,7,1,1,1,0,7,1,4.45,0,4.45,4.96,4.91,4.27,4.27,4.24,-0.45,-0.96,-0.91,-0.27,-0.27,-0.24,,,,,,,,-2.1,-0.645,0,-1.6,-1.22,-0.75,4.79,-0.79
2,8,4,1,1,1,1,4,1,3.45,0,3.45,5.39,5.43,4.27,4.27,4.24,-1.45,-3.39,-3.43,-2.27,-2.27,-2.24,,,,,,,,-0.86,-2.645,1,-2.41,-3.22,-2.75,4.79,-2.79
